player,position,age,club,league,market_value,appearances,goals,assists,yellow_cards,red_cards,minutes,club_id,logo_url
Gianluigi Donnarumma,Goalkeeper,27,Manchester City,EPL,45000000.0,40.0,0.0,0.0,9.0,0.0,3600.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
James Trafford,Goalkeeper,23,Manchester City,EPL,25000000.0,15.0,0.0,0.0,0.0,0.0,1350.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Marcus Bettinelli,Goalkeeper,33,Manchester City,EPL,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Josko Gvardiol,Centre-Back,24,Manchester City,EPL,70000000.0,23.0,2.0,5.0,2.0,0.0,1796.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Marc Guéhi,Centre-Back,25,Manchester City,EPL,65000000.0,49.0,5.0,5.0,9.0,0.0,4162.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Rúben Dias,Centre-Back,29,Manchester City,EPL,60000000.0,32.0,2.0,0.0,4.0,0.0,2556.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Abdukodir Khusanov,Centre-Back,22,Manchester City,EPL,35000000.0,34.0,0.0,0.0,5.0,0.0,2547.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
John Stones,Centre-Back,31,Manchester City,EPL,15000000.0,16.0,0.0,0.0,0.0,0.0,1058.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Nathan Aké,Centre-Back,31,Manchester City,EPL,15000000.0,29.0,0.0,0.0,1.0,0.0,1445.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Max Alleyne,Centre-Back,20,Manchester City,EPL,8000000.0,7.0,1.0,0.0,0.0,0.0,446.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Nico O'Reilly,Left-Back,21,Manchester City,EPL,50000000.0,50.0,9.0,6.0,7.0,0.0,3774.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Rayan Aït-Nouri,Left-Back,24,Manchester City,EPL,40000000.0,26.0,0.0,5.0,4.0,0.0,1502.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Matheus Nunes,Right-Back,27,Manchester City,EPL,45000000.0,45.0,1.0,9.0,7.0,0.0,3687.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Rico Lewis,Right-Back,21,Manchester City,EPL,32000000.0,21.0,2.0,3.0,2.0,0.0,1015.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Rodri,Defensive Midfield,29,Manchester City,EPL,65000000.0,31.0,2.0,0.0,5.0,0.0,2032.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Nico González,Defensive Midfield,24,Manchester City,EPL,45000000.0,79.0,7.0,0.0,12.0,1.0,4423.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Tijjani Reijnders,Central Midfield,27,Manchester City,EPL,60000000.0,45.0,7.0,8.0,2.0,0.0,2673.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Sverre Nypan,Central Midfield,19,Manchester City,EPL,15000000.0,0.0,0.0,0.0,0.0,0.0,0.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Mateo Kovacic,Central Midfield,32,Manchester City,EPL,12000000.0,5.0,0.0,1.0,0.0,0.0,119.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Phil Foden,Attacking Midfield,25,Manchester City,EPL,80000000.0,46.0,10.0,5.0,5.0,0.0,2812.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Rayan Cherki,Attacking Midfield,22,Manchester City,EPL,65000000.0,47.0,10.0,14.0,2.0,0.0,2672.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Bernardo Silva,Attacking Midfield,31,Manchester City,EPL,27000000.0,48.0,3.0,5.0,13.0,1.0,3481.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Jérémy Doku,Left Winger,23,Manchester City,EPL,65000000.0,42.0,7.0,14.0,0.0,0.0,2661.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Savinho,Left Winger,22,Manchester City,EPL,40000000.0,32.0,3.0,3.0,4.0,0.0,1287.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Antoine Semenyo,Right Winger,26,Manchester City,EPL,75000000.0,43.0,18.0,6.0,7.0,0.0,3486.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Erling Haaland,Centre-Forward,25,Manchester City,EPL,200000000.0,49.0,36.0,7.0,2.0,0.0,3875.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Omar Marmoush,Centre-Forward,27,Manchester City,EPL,60000000.0,32.0,6.0,3.0,2.0,0.0,1225.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
David Raya,Goalkeeper,30,Arsenal FC,EPL,35000000.0,47.0,0.0,0.0,1.0,0.0,4230.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Kepa Arrizabalaga,Goalkeeper,31,Arsenal FC,EPL,7000000.0,11.0,0.0,0.0,3.0,0.0,987.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
William Saliba,Centre-Back,25,Arsenal FC,EPL,90000000.0,46.0,1.0,1.0,2.0,0.0,3864.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Gabriel,Centre-Back,28,Arsenal FC,EPL,75000000.0,46.0,4.0,5.0,5.0,0.0,3775.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Piero Hincapié,Centre-Back,24,Arsenal FC,EPL,50000000.0,37.0,1.0,2.0,3.0,0.0,2658.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Cristhian Mosquera,Centre-Back,21,Arsenal FC,EPL,35000000.0,31.0,0.0,0.0,3.0,0.0,1707.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Riccardo Calafiori,Left-Back,24,Arsenal FC,EPL,50000000.0,32.0,1.0,3.0,7.0,0.0,2041.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Myles Lewis-Skelly,Left-Back,19,Arsenal FC,EPL,35000000.0,31.0,0.0,4.0,6.0,0.0,1547.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Jurriën Timber,Right-Back,24,Arsenal FC,EPL,70000000.0,43.0,4.0,7.0,6.0,0.0,3309.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Ben White,Right-Back,28,Arsenal FC,EPL,30000000.0,28.0,1.0,2.0,3.0,0.0,1762.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Martín Zubimendi,Defensive Midfield,27,Arsenal FC,EPL,80000000.0,52.0,6.0,3.0,8.0,0.0,4123.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Christian Nørgaard,Defensive Midfield,32,Arsenal FC,EPL,7000000.0,19.0,0.0,3.0,3.0,0.0,995.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Declan Rice,Central Midfield,27,Arsenal FC,EPL,120000000.0,51.0,5.0,11.0,6.0,0.0,4066.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Mikel Merino,Central Midfield,29,Arsenal FC,EPL,30000000.0,33.0,6.0,3.0,5.0,0.0,1879.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Martin Ødegaard,Attacking Midfield,27,Arsenal FC,EPL,65000000.0,32.0,1.0,7.0,0.0,0.0,1774.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Eberechi Eze,Attacking Midfield,27,Arsenal FC,EPL,60000000.0,49.0,10.0,6.0,2.0,0.0,3047.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Gabriel Martinelli,Left Winger,24,Arsenal FC,EPL,45000000.0,49.0,11.0,6.0,5.0,0.0,2249.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Leandro Trossard,Left Winger,31,Arsenal FC,EPL,20000000.0,46.0,7.0,10.0,2.0,0.0,2577.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Bukayo Saka,Right Winger,24,Arsenal FC,EPL,120000000.0,45.0,10.0,8.0,1.0,0.0,2945.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Noni Madueke,Right Winger,24,Arsenal FC,EPL,50000000.0,39.0,7.0,4.0,1.0,0.0,2095.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Max Dowman,Right Winger,16,Arsenal FC,EPL,20000000.0,12.0,1.0,1.0,0.0,0.0,415.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Viktor Gyökeres,Centre-Forward,27,Arsenal FC,EPL,65000000.0,50.0,21.0,3.0,5.0,0.0,3225.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Kai Havertz,Centre-Forward,26,Arsenal FC,EPL,50000000.0,20.0,5.0,4.0,1.0,0.0,835.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Gabriel Jesus,Centre-Forward,29,Arsenal FC,EPL,20000000.0,26.0,5.0,2.0,2.0,0.0,913.0,11,https://tmssl.akamaized.net/images/wappen/medium/11.png
Robert Sánchez,Goalkeeper,28,Chelsea FC,EPL,22000000.0,47.0,0.0,1.0,3.0,1.0,4106.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Filip Jørgensen,Goalkeeper,24,Chelsea FC,EPL,15000000.0,11.0,0.0,0.0,1.0,0.0,873.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Gabriel Slonina,Goalkeeper,22,Chelsea FC,EPL,3500000.0,0.0,0.0,0.0,0.0,0.0,0.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Teddy Sharman-Lowe,Goalkeeper,23,Chelsea FC,EPL,550000.0,0.0,0.0,0.0,0.0,0.0,0.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Levi Colwill,Centre-Back,23,Chelsea FC,EPL,50000000.0,1.0,0.0,0.0,0.0,0.0,45.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Trevoh Chalobah,Centre-Back,26,Chelsea FC,EPL,40000000.0,45.0,3.0,0.0,4.0,1.0,3681.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Wesley Fofana,Centre-Back,25,Chelsea FC,EPL,28000000.0,34.0,0.0,2.0,6.0,0.0,2401.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Mamadou Sarr,Centre-Back,20,Chelsea FC,EPL,25000000.0,23.0,0.0,0.0,5.0,0.0,1860.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Tosin Adarabioyo,Centre-Back,28,Chelsea FC,EPL,18000000.0,29.0,2.0,0.0,3.0,0.0,1639.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Benoît Badiashile,Centre-Back,25,Chelsea FC,EPL,18000000.0,16.0,0.0,0.0,4.0,0.0,1074.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Marc Cucurella,Left-Back,27,Chelsea FC,EPL,50000000.0,46.0,1.0,4.0,9.0,1.0,3527.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Jorrel Hato,Left-Back,20,Chelsea FC,EPL,35000000.0,32.0,2.0,1.0,5.0,0.0,1925.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Caleb Wiley,Left-Back,21,Chelsea FC,EPL,8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Reece James,Right-Back,26,Chelsea FC,EPL,60000000.0,36.0,2.0,7.0,5.0,0.0,2522.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Malo Gusto,Right-Back,23,Chelsea FC,EPL,35000000.0,46.0,3.0,5.0,5.0,0.0,3040.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Josh Acheampong,Right-Back,20,Chelsea FC,EPL,25000000.0,28.0,2.0,0.0,1.0,0.0,1216.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Moisés Caicedo,Defensive Midfield,24,Chelsea FC,EPL,110000000.0,46.0,5.0,1.0,14.0,1.0,3814.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Roméo Lavia,Defensive Midfield,22,Chelsea FC,EPL,25000000.0,20.0,0.0,0.0,1.0,0.0,758.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Dário Essugo,Defensive Midfield,21,Chelsea FC,EPL,17000000.0,4.0,0.0,2.0,1.0,0.0,108.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Enzo Fernández,Central Midfield,25,Chelsea FC,EPL,90000000.0,50.0,13.0,6.0,11.0,0.0,4019.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Andrey Santos,Central Midfield,22,Chelsea FC,EPL,45000000.0,41.0,2.0,4.0,8.0,0.0,2257.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Cole Palmer,Attacking Midfield,24,Chelsea FC,EPL,110000000.0,30.0,10.0,3.0,5.0,0.0,2084.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Alejandro Garnacho,Left Winger,21,Chelsea FC,EPL,40000000.0,41.0,8.0,4.0,3.0,0.0,2148.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Jamie Gittens,Left Winger,21,Chelsea FC,EPL,35000000.0,27.0,1.0,5.0,1.0,0.0,1102.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Estêvão,Right Winger,19,Chelsea FC,EPL,80000000.0,36.0,8.0,4.0,8.0,0.0,1676.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Pedro Neto,Right Winger,26,Chelsea FC,EPL,60000000.0,49.0,10.0,8.0,6.0,0.0,3597.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
João Pedro,Centre-Forward,24,Chelsea FC,EPL,75000000.0,47.0,20.0,9.0,4.0,0.0,3428.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Liam Delap,Centre-Forward,23,Chelsea FC,EPL,32000000.0,38.0,2.0,4.0,4.0,0.0,1500.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Marc Guiu,Centre-Forward,20,Chelsea FC,EPL,12000000.0,13.0,2.0,2.0,1.0,0.0,527.0,631,https://tmssl.akamaized.net/images/wappen/medium/631.png
Giorgi Mamardashvili,Goalkeeper,25,Liverpool FC,EPL,28000000.0,18.0,0.0,0.0,0.0,0.0,1532.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Alisson,Goalkeeper,33,Liverpool FC,EPL,17000000.0,34.0,0.0,0.0,1.0,0.0,3026.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Freddie Woodman,Goalkeeper,29,Liverpool FC,EPL,3000000.0,4.0,0.0,0.0,0.0,0.0,302.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Harvey Davies,Goalkeeper,22,Liverpool FC,EPL,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Ibrahima Konaté,Centre-Back,26,Liverpool FC,EPL,50000000.0,48.0,2.0,0.0,9.0,0.0,4024.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Giovanni Leoni,Centre-Back,19,Liverpool FC,EPL,25000000.0,1.0,0.0,0.0,0.0,0.0,81.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Virgil van Dijk,Centre-Back,34,Liverpool FC,EPL,18000000.0,52.0,6.0,3.0,6.0,0.0,4671.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Joe Gomez,Centre-Back,28,Liverpool FC,EPL,15000000.0,30.0,0.0,2.0,4.0,0.0,1306.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Rhys Williams,Centre-Back,25,Liverpool FC,EPL,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Milos Kerkez,Left-Back,22,Liverpool FC,EPL,40000000.0,45.0,2.0,2.0,6.0,0.0,3031.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Andrew Robertson,Left-Back,32,Liverpool FC,EPL,10000000.0,35.0,3.0,2.0,1.0,0.0,1918.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Jeremie Frimpong,Right-Back,25,Liverpool FC,EPL,35000000.0,33.0,2.0,2.0,1.0,0.0,1688.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Conor Bradley,Right-Back,22,Liverpool FC,EPL,30000000.0,21.0,0.0,2.0,7.0,0.0,1209.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Calvin Ramsay,Right-Back,22,Liverpool FC,EPL,1500000.0,2.0,0.0,0.0,0.0,0.0,91.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Ryan Gravenberch,Defensive Midfield,24,Liverpool FC,EPL,90000000.0,47.0,5.0,6.0,8.0,0.0,3892.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Wataru Endo,Defensive Midfield,33,Liverpool FC,EPL,5000000.0,12.0,0.0,1.0,1.0,0.0,455.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Stefan Bajcetic,Defensive Midfield,21,Liverpool FC,EPL,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Alexis Mac Allister,Central Midfield,27,Liverpool FC,EPL,80000000.0,52.0,5.0,7.0,8.0,0.0,3615.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Curtis Jones,Central Midfield,25,Liverpool FC,EPL,35000000.0,46.0,2.0,3.0,4.0,0.0,2580.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Trey Nyoni,Central Midfield,18,Liverpool FC,EPL,6000000.0,13.0,0.0,0.0,0.0,0.0,230.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Florian Wirtz,Attacking Midfield,23,Liverpool FC,EPL,110000000.0,47.0,7.0,10.0,2.0,0.0,3463.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Dominik Szoboszlai,Attacking Midfield,25,Liverpool FC,EPL,100000000.0,50.0,13.0,10.0,10.0,1.0,4466.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Cody Gakpo,Left Winger,27,Liverpool FC,EPL,65000000.0,49.0,9.0,6.0,3.0,0.0,3355.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Rio Ngumoha,Left Winger,17,Liverpool FC,EPL,20000000.0,26.0,2.0,0.0,0.0,0.0,722.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Mohamed Salah,Right Winger,33,Liverpool FC,EPL,30000000.0,39.0,12.0,9.0,2.0,0.0,3060.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Federico Chiesa,Right Winger,28,Liverpool FC,EPL,15000000.0,34.0,3.0,3.0,4.0,0.0,689.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Alexander Isak,Centre-Forward,26,Liverpool FC,EPL,100000000.0,21.0,4.0,1.0,0.0,0.0,1010.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Hugo Ekitiké,Centre-Forward,23,Liverpool FC,EPL,90000000.0,45.0,17.0,6.0,1.0,0.0,2872.0,31,https://tmssl.akamaized.net/images/wappen/medium/31.png
Senne Lammens,Goalkeeper,23,Manchester United,EPL,30000000.0,30.0,0.0,0.0,0.0,0.0,2700.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Altay Bayındır,Goalkeeper,28,Manchester United,EPL,7000000.0,6.0,0.0,0.0,0.0,0.0,540.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Tom Heaton,Goalkeeper,40,Manchester United,EPL,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Leny Yoro,Centre-Back,20,Manchester United,EPL,50000000.0,32.0,0.0,2.0,1.0,0.0,1813.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Matthijs de Ligt,Centre-Back,26,Manchester United,EPL,40000000.0,14.0,1.0,0.0,0.0,0.0,1215.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Lisandro Martínez,Centre-Back,28,Manchester United,EPL,40000000.0,16.0,0.0,0.0,0.0,1.0,1040.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Ayden Heaven,Centre-Back,19,Manchester United,EPL,20000000.0,18.0,0.0,1.0,2.0,0.0,987.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Harry Maguire,Centre-Back,33,Manchester United,EPL,10000000.0,22.0,2.0,2.0,4.0,1.0,1486.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Patrick Dorgu,Left-Back,21,Manchester United,EPL,35000000.0,25.0,3.0,3.0,5.0,0.0,1483.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Luke Shaw,Left-Back,30,Manchester United,EPL,10000000.0,35.0,0.0,1.0,8.0,0.0,2971.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Tyrell Malacia,Left-Back,26,Manchester United,EPL,5000000.0,2.0,0.0,0.0,0.0,0.0,7.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Diogo Dalot,Right-Back,27,Manchester United,EPL,30000000.0,35.0,1.0,3.0,5.0,0.0,2706.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Noussair Mazraoui,Right-Back,28,Manchester United,EPL,20000000.0,18.0,0.0,0.0,3.0,0.0,820.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Manuel Ugarte,Defensive Midfield,25,Manchester United,EPL,30000000.0,24.0,0.0,0.0,1.0,0.0,1005.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Casemiro,Defensive Midfield,34,Manchester United,EPL,8000000.0,34.0,9.0,2.0,8.0,0.0,2519.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Kobbie Mainoo,Central Midfield,21,Manchester United,EPL,50000000.0,27.0,1.0,3.0,2.0,0.0,1536.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Bruno Fernandes,Attacking Midfield,31,Manchester United,EPL,40000000.0,34.0,8.0,21.0,5.0,0.0,2933.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Mason Mount,Attacking Midfield,27,Manchester United,EPL,30000000.0,22.0,3.0,1.0,1.0,0.0,933.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Bryan Mbeumo,Right Winger,26,Manchester United,EPL,80000000.0,31.0,10.0,3.0,4.0,0.0,2501.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Amad Diallo,Right Winger,23,Manchester United,EPL,50000000.0,30.0,2.0,3.0,2.0,0.0,2173.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Matheus Cunha,Centre-Forward,26,Manchester United,EPL,70000000.0,33.0,9.0,4.0,3.0,0.0,2513.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Benjamin Sesko,Centre-Forward,22,Manchester United,EPL,65000000.0,32.0,12.0,1.0,2.0,0.0,1817.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Joshua Zirkzee,Centre-Forward,24,Manchester United,EPL,22000000.0,23.0,2.0,1.0,3.0,0.0,554.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Chido Obi,Centre-Forward,18,Manchester United,EPL,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,985,https://tmssl.akamaized.net/images/wappen/medium/985.png
Aaron Ramsdale,Goalkeeper,28,Newcastle United,EPL,12000000.0,23.0,0.0,0.0,3.0,0.0,2023.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Nick Pope,Goalkeeper,34,Newcastle United,EPL,7000000.0,33.0,0.0,1.0,2.0,0.0,2957.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Mark Gillespie,Goalkeeper,34,Newcastle United,EPL,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
John Ruddy,Goalkeeper,39,Newcastle United,EPL,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Malick Thiaw,Centre-Back,24,Newcastle United,EPL,45000000.0,51.0,5.0,1.0,9.0,0.0,4371.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Sven Botman,Centre-Back,26,Newcastle United,EPL,35000000.0,35.0,2.0,1.0,2.0,0.0,2592.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Fabian Schär,Centre-Back,34,Newcastle United,EPL,6000000.0,21.0,1.0,0.0,3.0,0.0,1402.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Dan Burn,Centre-Back,34,Newcastle United,EPL,5000000.0,41.0,2.0,6.0,11.0,0.0,3272.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Lewis Hall,Left-Back,21,Newcastle United,EPL,35000000.0,43.0,1.0,2.0,4.0,0.0,2985.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Alex Murphy,Left-Back,21,Newcastle United,EPL,1500000.0,5.0,0.0,0.0,0.0,0.0,107.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Tino Livramento,Right-Back,23,Newcastle United,EPL,40000000.0,26.0,0.0,1.0,1.0,0.0,1810.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Kieran Trippier,Right-Back,35,Newcastle United,EPL,2500000.0,35.0,0.0,4.0,6.0,0.0,2527.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Emil Krafth,Right-Back,31,Newcastle United,EPL,1000000.0,3.0,0.0,0.0,0.0,0.0,178.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Sandro Tonali,Defensive Midfield,26,Newcastle United,EPL,80000000.0,51.0,3.0,7.0,7.0,0.0,3878.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Bruno Guimarães,Central Midfield,28,Newcastle United,EPL,75000000.0,38.0,9.0,8.0,8.0,0.0,3076.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Jacob Ramsey,Central Midfield,24,Newcastle United,EPL,35000000.0,40.0,2.0,1.0,4.0,0.0,2123.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Joelinton,Central Midfield,29,Newcastle United,EPL,30000000.0,41.0,6.0,2.0,16.0,0.0,2734.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Lewis Miley,Central Midfield,20,Newcastle United,EPL,25000000.0,34.0,3.0,4.0,0.0,0.0,2155.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Joe Willock,Central Midfield,26,Newcastle United,EPL,16000000.0,37.0,1.0,2.0,6.0,0.0,1523.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Anthony Gordon,Left Winger,25,Newcastle United,EPL,60000000.0,46.0,17.0,5.0,4.0,1.0,2869.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Harvey Barnes,Left Winger,28,Newcastle United,EPL,32000000.0,54.0,15.0,5.0,2.0,0.0,3208.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Anthony Elanga,Right Winger,24,Newcastle United,EPL,40000000.0,47.0,3.0,2.0,1.0,0.0,2080.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Jacob Murphy,Right Winger,31,Newcastle United,EPL,15000000.0,43.0,4.0,5.0,2.0,0.0,2106.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
Nick Woltemade,Centre-Forward,24,Newcastle United,EPL,65000000.0,51.0,11.0,5.0,1.0,0.0,3042.0,762,https://tmssl.akamaized.net/images/wappen/medium/762.png
